Timestamp,Amount spent by,For,Mode of transaction,Home Expenses,Further details if any,Amount
1-30-2022 21:10:14,LKS,Home,Online/Digital,Entertainment / Movie,TV Malai visit expenses,1045
1-30-2022 21:10:56,LKS,Home,Online/Digital,Car wash,Dec,800
1-30-2022 21:16:48,LKS,Home,Online/Digital,Fruits and Vegitables,,150
1-30-2022 21:17:28,LKS,Home,Online/Digital,Fruits and Vegitables,Mango point,1288
1-30-2022 21:18:03,LKS,Home,Online/Digital,General Provisions,,300
1-30-2022 21:18:24,LKS,Home,Online/Digital,Milk,,1978
1-30-2022 21:19:22,LKS,Home,Online/Digital,cat Food,,364
1-30-2022 21:21:31,LKS,Home,Online/Digital,Snacks and eatables,srikumar bday,1461
1-30-2022 21:22:21,LKS,Personal,Online/Digital,Dress / Tailoring,,550
1-30-2022 21:23:14,LKS,Home,Online/Digital,Gift,pongal gift to Malu akka,1000
1-30-2022 21:24:20,LKS,Home,Online/Digital,TV Rechanrge,Hotstar,578
1-30-2022 21:27:43,LKS,Home,Online/Digital,Snacks and eatables,wedding day exp,941
1-30-2022 21:30:48,LKS,Home,Online/Digital,EB,,4242
1-30-2022 21:31:51,LKS,Home,Online/Digital,Fruits and Vegitables,,175
1-30-2022 21:32:42,LKS,Home,Online/Digital,Donation,SRCM,3000
1-30-2022 21:33:47,LKS,Personal,Online/Digital,Dress / Tailoring,cosmetics,1100
1-30-2022 21:34:27,LKS,Home,Online/Digital,Stationery,xerox,110
1-30-2022 21:35:35,KIV,Home,Online/Digital,Magazines,dinamani and tuklaq subscription,2650
1-30-2022 21:36:13,LKS,Personal,Online/Digital,Dress / Tailoring,,780
1-30-2022 21:36:40,LKS,Home,Online/Digital,General Provisions,backiyam stores,5855
1-30-2022 21:40:28,LKS,Home,Cash,Fruits and Vegitables,whole month bills,2500
1-30-2022 21:41:45,LKS,Home,Cash,Flower,whole month,600
1-30-2022 21:42:16,LKS,Home,Cash,Water,,1350
1-30-2022 21:42:41,LKS,Home,Cash,General Provisions,,1250
1-30-2022 21:43:14,LKS,Home,Cash,Repair works,gas stove,120
1-30-2022 21:44:24,LKS,Home,Cash,Coffeepowder,2 times,1100
1-30-2022 21:47:23,LKS,Home,Cash,Ironing,,250
1-30-2022 21:48:26,LKS,Home,Cash,Gift,pongal gift,220
1-30-2022 21:49:09,LKS,Home,Cash,Fuel,activa,750
1-30-2022 21:52:27,LKS,Home,Cash,"goorka, kuppai etc",,40
1-30-2022 21:55:30,MKA,Home,Online/Digital,Travel,fastag recharge,200
1-30-2022 21:59:14,MKA,Card payments,Online/Digital,Repair works,Car accessories,37303
1-30-2022 22:00:38,MKA,Card payments,Online/Digital,Dress / Tailoring,new dresses,8771
1-30-2022 22:02:38,MKA,Home,Online/Digital,Dress / Tailoring,wedding day purchases,14561
1-30-2022 22:03:25,MKA,Home,Online/Digital,Donation,SRCM,13000
1-30-2022 22:05:40,MKA,Home,Online/Digital,Gift,jayanth wedding (HTC Jayashri),620
1-30-2022 22:10:48,MKA,Card payments,Online/Digital,New Purchase,AC EMI plus card gst,6567
1-30-2022 22:11:46,MKA,Home,Cash,Repair works,front gate roadside platform construction,16000
1-30-2022 22:12:30,MKA,Home,Cash,Gift,vathsalya wedding (20k cash plus 8gms gold),20000
1-30-2022 22:13:12,MAS,Home,Cash,Snacks and eatables,whole month,1100
1-30-2022 22:13:39,LKS,Home,Cash,Snacks and eatables,whole month,600
1-30-2022 22:14:12,LKS,Home,Cash,Medical,,50
1-30-2022 22:15:21,LKS,Home,Cash,Garden exp,garden cleaning by ranjani,550
1-30-2022 22:22:52,MAA,Home,Online/Digital,amazon purchases - woffle maker and other accessories,,3100
1-30-2022 22:23:18,MAA,Home,Online/Digital,Medical,,306
1-30-2022 22:24:52,MAA,Home,Online/Digital,Snacks and eatables,pizza and zomoto,3747
1-30-2022 22:26:31,MAA,Home,Online/Digital,Repair works,syntex materials,2600
1-30-2022 22:26:31,MAA,Home,Online/Digital,Repair works,syntex materials and Raj hardwares,19490
1-30-2022 22:28:37,MAA,Home,Online/Digital,Snacks and eatables,ibaco and others,530
1-30-2022 22:28:55,MAA,Home,Online/Digital,General Provisions,,516
1-30-2022 22:29:28,MAA,Home,Online/Digital,Travel,TV malai sparsa visit,8713
1-30-2022 22:29:28,MAA,Home,Online/Digital,Travel,TV malai sparsa visit,781
1-30-2022 22:29:28,MAA,Home,Online/Digital,General Provisions,,165
1-30-2022 22:29:28,MAA,Home,Online/Digital,Entertainment / Movie,Parents wedding day - lunch at ITC,8944
1-30-2022 22:29:28,MAA,Home,Online/Digital,Snacks and eatables,OMR visit,780
1-30-2022 22:29:28,MAA,Home,Online/Digital,New Purchase,Gold ring and gold coin,49400
1-30-2022 22:29:28,MAA,Home,Online/Digital,New Purchase,golusu hook,470
1-30-2022 22:29:28,MAA,Home,Online/Digital,New Purchase,Urban lader - furnitures,10076
1-30-2022 22:29:28,MAA,Home,Online/Digital,General Provisions,,40
1-30-2022 22:29:28,MAA,Peace Paradice,Online/Digital,Internet recharga,ACT recharge,944
1-31-2022 22:29:28,MAA,Home,Online/Digital,cat Food,,363
1-30-2022 22:30:36,LKS,Home,Cash,Travel,TV malai - sparsa visit,1200
1-31-2022 17:27:03,MAS,Personal,Cash,Dress / Tailoring,T shirt,400
1-31-2022 17:27:24,MAS,Home,Cash,Snacks and eatables,,550
1-31-2022 17:29:23,LKS,Home,Cash,General Provisions,,550
1-31-2022 17:29:52,LKS,Home,Cash,Gas,2 cylinders,1872
1-31-2022 17:29:52,LKS,Home,Cash,Fruits and Vegitables,,350
1-31-2022 17:29:52,KIV,Home,Online/Digital,TV Rechanrge,Tata sky,1500
1-31-2022 17:29:52,KIV,Home,Online/Digital,Medical,,2868
1-31-2022 17:29:52,KIV,Home,Online/Digital,Mobile Recharge,Vodaphone,179
2-1-2022 14:27:28,MAS,Personal,Cash,Snacks and eatables,,126
2-3-2022 13:13:28,MAS,Personal,Cash,Dress / Tailoring,belt,350
2-3-2022 13:14:07,LKS,Home,Cash,Servant salary,for jan,1500
2-4-2022 9:17:00,MAS,Personal,Cash,Snacks and eatables,,290
2-4-2022 9:17:55,MAS,Personal,Cash,Travel,Auto,280
2-4-2022 9:18:25,MAS,Personal,Cash,Travel,Rwallet recharge,100
2-6-2022 6:51:47,LKS,Home,Cash,Fruits and Vegitables,,75
2-6-2022 6:52:10,LKS,Home,Cash,General Provisions,,70
2-6-2022 6:52:30,LKS,Home,Cash,Flower,,300
2-6-2022 6:53:07,LKS,Home,Cash,Repair works,Material delivery charges,100
2-6-2022 6:53:40,LKS,Home,Cash,Gift,Gift covers,45
2-6-2022 6:54:20,LKS,Home,Cash,Ironing,,80
2-6-2022 6:54:50,LKS,Home,Cash,Rice mill,,120
2-6-2022 6:55:05,LKS,Home,Cash,Fruits and Vegitables,,75
2-7-2022 22:22:12,MKA,Others,Cash,Gift,Arulmozhi varman marriage gift,5000
2-7-2022 22:22:33,LKS,Home,Cash,Fruits and Vegitables,,250
2-7-2022 22:22:53,LKS,Home,Cash,Gift,vathsalya,200
2-7-2022 22:24:04,LKS,Home,Cash,Repair works,adithya bathroom tile fixing and pluming,4500
2-7-2022 22:24:23,LKS,Home,Cash,Flower,,100
2-7-2022 22:26:18,MKA,Card payments,Online/Digital,Dress / Tailoring,wedding day dresses,15509
2-9-2022 14:57:37,LKS,Home,Cash,Repair works,adithya bathroom tile fixing labour - 2days,4500
2-17-2022 16:36:37,LKS,Home,Cash,Fuel,Aciva,350
2-17-2022 16:37:02,MAS,Home,Cash,General Provisions,,505
2-17-2022 16:38:34,MAS,Home,Cash,Coffeepowder,,535
2-17-2022 16:39:25,MAS,Personal,Cash,Magazines,,25
2-17-2022 16:39:46,MAS,Personal,Cash,Snacks and eatables,,650
2-17-2022 16:40:08,MAS,Home,Cash,Snacks and eatables,,350
2-17-2022 16:40:45,LKS,Home,Cash,Fruits and Vegitables,,1250
2-17-2022 16:41:12,LKS,Home,Cash,Flower,,160
2-17-2022 16:42:08,LKS,Home,Cash,General Provisions,,250
2-17-2022 16:43:19,LKS,Home,Cash,Servant salary,Aditional work,400
2-17-2022 16:44:58,LKS,Home,Cash,Repair works,Electrician light and toilet fitting,2500
2-17-2022 16:46:32,LKS,Home,Cash,Ironing,,185
2-17-2022 16:47:12,LKS,Home,Cash,Water,,1340
2-17-2022 16:47:56,LKS,Home,Cash,Stationery,Gift covers,60
2-17-2022 16:48:26,LKS,Home,Cash,Rice mill,,170
2-17-2022 16:49:25,LKS,Home,Cash,Medical,Adithya medical,250
2-17-2022 16:49:57,LKS,Home,Cash,Donation,Udhavum karangal,2000
2-18-2022 22:27:27,LKS,Home,Cash,Flower,,100
2-18-2022 22:28:02,LKS,Home,Cash,General Provisions,,135
2-20-2022 20:06:12,LKS,Home,Cash,General Provisions,,340
2-20-2022 20:06:30,LKS,Home,Cash,Fruits and Vegitables,,160
2-20-2022 20:07:19,MAS,Home,Cash,Snacks and eatables,Ramya home visit,300
2-20-2022 20:07:54,MAS,Home,Cash,General Provisions,,365
2-20-2022 20:08:31,MAS,Personal,Cash,Stationery,Printout and lamination,150
2-26-2022 22:37:56,LKS,Home,Cash,Fuel,,200
2-26-2022 22:38:27,LKS,Home,Cash,Fruits and Vegitables,,550
2-26-2022 22:38:45,LKS,Home,Cash,General Provisions,,150
2-26-2022 22:39:08,LKS,Home,Cash,Flower,,180
3-1-2022 11:03:18,LKS,Home,Cash,Fruits and Vegitables,,175
3-1-2022 11:03:37,LKS,Home,Cash,Coffeepowder,,615
3-1-2022 11:04:24,MAS,Personal,Cash,Snacks and eatables,,60
3-1-2022 11:05:12,LKS,Personal,Cash,Parlour,,50
3-8-2022 15:34:40,LKS,Home,Cash,Servant salary,,3000
3-8-2022 15:35:22,LKS,Home,Cash,Water,,1340
3-8-2022 15:36:34,LKS,Home,Cash,Fruits and Vegitables,,600
3-8-2022 15:39:07,LKS,Home,Cash,Flower,,100
3-8-2022 15:40:08,MAA,Personal,Cash,college form,,1000
3-10-2022 21:57:32,LKS,Home,Cash,General Provisions,,450
3-10-2022 21:58:32,LKS,Home,Cash,Fruits and Vegitables,,120
3-10-2022 21:59:09,LKS,Home,Cash,Milk,,568
3-10-2022 22:02:07,LKS,Home,Cash,Snacks and eatables,,150
3-19-2022 9:09:53,LKS,Home,Cash,Repair works,,500
3-19-2022 9:10:10,LKS,Home,Cash,Flower,,350
3-19-2022 9:10:22,LKS,Home,Cash,Fruits and Vegitables,,600
3-19-2022 9:10:49,LKS,Others,Cash,Gift,Vinod wedding,1000
3-19-2022 9:12:15,MAS,Personal,Cash,Fruits and Vegitables,,150
