,cluster_name,DC Name,Cluster Region (Prod/Non Prod),Cluster Type,Active,reporting_date,no_of_hosts,core_per_host,ram_per_host, vcpu_allocated,vram_allocated
0,Atlanta UCS Cluster 1,Atlanta,NonProd,Vmware,TRUE,10-12-2020,3,24,384,102,289
1,SHK DATABASE CLUSTER,SHK,Prod,Vmware,TRUE,10-12-2020,6,32,3072,882,3834
2,SHK DATABASE CLUSTER2,SHK,Prod,Vmware,TRUE,10-12-2020,2,32,3072,0,0
3,SHK DB2 Cluster,SHK,Prod,Vmware,TRUE,10-12-2020,7,36,768,106,710
4,SHK NONBILLABLE CLUSTER,SHK,Prod,Vmware,TRUE,10-12-2020,3,36,768,394,1277
5,SHK GENESYS CLUSTER,SHK,Prod,Vmware,TRUE,10-12-2020,7,36,768,1204,3414
6,SHK GemFire Cluster,SHK,Prod,Vmware,TRUE,10-12-2020,4,36,768,66,280
7,SHK Jboss Cluster,SHK,Prod,Vmware,TRUE,10-12-2020,10,36,768,1497,3220
8,SHK DENSE WINDOWS CLUSTER,SHK,prod,Vmware,TRUE,10-12-2020,5,72,3072,802,3612
9,SHK LARGE WINDOWS,SHK,Prod,Vmware,TRUE,10-12-2020,4,32,3072,56,408
10,SHK Management,SHK,Prod,Vmware,TRUE,10-12-2020,4,36,768,243,718
11,SHK Platinum Linux Prod1,SHK,Prod,Vmware,TRUE,10-12-2020,4,36,768,352,744
12,SHK Platinum Windows Prod1,SHK,Prod,Vmware,TRUE,10-12-2020,3,36,768,76,220
13,SHK TENANT LINUX PROD2,SHK,Prod,Vmware,TRUE,10-12-2020,12,36,768,1973,6438
14,SHK TENANT WINDOWS PROD2,SHK,Prod,Vmware,TRUE,10-12-2020,9,36,768,1629,4683
15,SHK Tenant Linux Prod1,SHK,Prod,Vmware,TRUE,10-12-2020,12,36,768,2273,7020
16,SHK Tenant Windows Prod1,SHK,Prod,Vmware,TRUE,10-12-2020,12,36,768,1652,5379
