cluster_name,DC Name,Cluster Region (Prod/Non Prod),Cluster Type,Active,reporting_date,no_of_hosts,core_per_host,ram_per_host, vcpu_allocated,vram_allocated,Atlanta UCS Cluster 1,Atlanta,NonProd,Vmware,TRUE,9/28/2020,3,24,384,102,279
Atlanta UCS Cluster 1,Atlanta,NonProd,Vmware,True,8/24/2020,3.0,24.0,384.0,102.0,279.0,,,,,,,,,,,
MPL Prod Silver Cluster 1,Mpl,NonProd,Vmware,True,8/24/2020,0.0,48.0,512.0,0.0,0.0,,,,,,,,,,,
SHK DATABASE CLUSTER,SHK,Prod,Vmware,True,8/24/2020,4.0,32.0,3072.0,524.0,2134.0,,,,,,,,,,,
SHK DATABASE CLUSTER2,SHK,Prod,Vmware,True,8/24/2020,4.0,32.0,3072.0,330.0,1572.0,,,,,,,,,,,
SHK DB2 Cluster,SHK,Prod,Vmware,True,8/24/2020,7.0,36.0,768.0,52.0,406.0,,,,,,,,,,,
SHK NONBILLABLE CLUSTER,SHK,Prod,Vmware,True,8/24/2020,3.0,36.0,768.0,437.0,1413.0,,,,,,,,,,,
SHK GENESYS CLUSTER,SHK,Prod,Vmware,True,8/24/2020,7.0,36.0,768.0,1204.0,3414.0,,,,,,,,,,,
SHK GemFire Cluster,SHK,Prod,Vmware,True,8/24/2020,4.0,36.0,768.0,72.0,280.0,,,,,,,,,,,
SHK Jboss Cluster,SHK,Prod,Vmware,True,8/24/2020,10.0,36.0,768.0,1451.0,3130.0,,,,,,,,,,,
SHK DENSE WINDOWS CLUSTER,SHK,prod,Vmware,True,8/24/2020,3.0,72.0,3072.0,308.0,1152.0,,,,,,,,,,,
SHK LARGE WINDOWS,SHK,Prod,Vmware,True,8/24/2020,4.0,32.0,3072.0,534.0,2283.0,,,,,,,,,,,
SHK Management,SHK,Prod,Vmware,True,8/24/2020,4.0,36.0,768.0,243.0,718.0,,,,,,,,,,,
SHK Platinum Linux Prod1,SHK,Prod,Vmware,True,8/24/2020,4.0,36.0,768.0,326.0,686.0,,,,,,,,,,,
SHK Platinum Windows Prod1,SHK,Prod,Vmware,True,8/24/2020,3.0,36.0,768.0,76.0,220.0,,,,,,,,,,,
SHK TENANT LINUX PROD2,SHK,Prod,Vmware,True,8/24/2020,12.0,36.0,768.0,2158.0,7561.0,,,,,,,,,,,
